Column1,symboling,normalized_losses,make,fuel_type,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression-ratio,horsepower,peak_rpm,city_mpg,highway_mpg,price,nlimpute,num_doors,num_cylinders,engine_size_cc,power2weight_ratio
28,2,137,honda,gas,std,two,hatchback,Front Wheel Drive,front,86.6,144.6,63.9,50.8,1819,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,31,38,6855,,2,4,1507,0.041781198
29,1,101,honda,gas,std,two,hatchback,Front Wheel Drive,front,93.7,150,64,52.6,1837,ohc,four,79,1bbl,2.91,3.07,10.1,60,5500,38,42,5399,,2,4,1294,0.032661949
30,1,101,honda,gas,std,two,hatchback,Front Wheel Drive,front,93.7,150,64,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,6529,,2,4,1507,0.039175258
31,1,101,honda,gas,std,two,hatchback,Front Wheel Drive,front,93.7,150,64,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7129,,2,4,1507,0.038854806
32,0,110,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,163.4,64,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7295,,4,4,1507,0.037810945
33,0,78,honda,gas,std,four,wagon,Front Wheel Drive,front,96.5,157.1,63.9,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7295,,4,4,1507,0.037549407
34,0,106,honda,gas,std,two,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,7895,,2,4,1802,0.038461538
35,0,106,honda,gas,std,two,hatchback,Front Wheel Drive,front,96.5,167.5,65.2,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,9095,,2,4,1802,0.037570992
36,0,85,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8845,,4,4,1802,0.037326389
37,0,85,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,175.4,62.5,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,10295,,4,4,1802,0.036256324
38,0,85,honda,gas,std,four,sedan,Front Wheel Drive,front,96.5,175.4,65.2,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,12945,,4,4,1802,0.040973631
39,1,107,honda,gas,std,two,sedan,Front Wheel Drive,front,96.5,169.1,66,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,,2,4,1802,0.04361099
40,0,145,jaguar,gas,std,four,sedan,Rear Wheel Drive,front,113,199.6,69.6,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,,4,6,4227,0.043285785
41,1,104,mazda,gas,std,two,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,5195,mazda,2,4,1491,0.035978836
42,1,104,mazda,gas,std,two,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6095,mazda,2,4,1491,0.035789474
43,1,104,mazda,gas,std,two,hatchback,Front Wheel Drive,front,93.1,159.1,64.2,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6795,mazda,2,4,1491,0.035695538
44,1,113,mazda,gas,std,four,sedan,Front Wheel Drive,front,93.1,166.8,64.2,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,6695,mazda,4,4,1491,0.03496144
45,1,113,mazda,gas,std,four,sedan,Front Wheel Drive,front,93.1,166.8,64.2,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7395,mazda,4,4,1491,0.034871795
50,1,129,mazda,gas,std,two,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,mazda,2,4,1999,0.035220126
51,0,115,mazda,gas,std,four,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,mazda,4,4,1999,0.034854772
52,1,129,mazda,gas,std,two,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,mazda,2,4,1999,0.035220126
53,0,115,mazda,gas,std,four,sedan,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,mazda,4,4,1999,0.034854772
55,0,115,mazda,gas,std,four,hatchback,Front Wheel Drive,front,98.8,177.8,66.5,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,mazda,4,4,1999,0.034639175
56,0,118,mazda,gas,std,four,sedan,Rear Wheel Drive,front,104.9,175,66.1,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,18280,mazda,4,4,2294,0.04494382
57,0,123.9333333,mazda,diesel,std,four,sedan,Rear Wheel Drive,front,104.9,175,66.1,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,18344,mazda,4,4,2195,0.026666667
58,-1,93,mercedes-benz,diesel,turbo,four,sedan,Rear Wheel Drive,front,110,190.9,70.3,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,mercedes-benz,4,5,2998,0.034992888
59,-1,93,mercedes-benz,diesel,turbo,four,wagon,Rear Wheel Drive,front,110,190.9,70.3,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,mercedes-benz,4,5,2998,0.0328
60,0,93,mercedes-benz,diesel,turbo,two,hardtop,Rear Wheel Drive,front,106.7,187.5,70.3,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,mercedes-benz,2,5,2998,0.035193133
61,-1,93,mercedes-benz,diesel,turbo,four,sedan,Rear Wheel Drive,front,115.6,202.6,71.7,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,mercedes-benz,4,5,2998,0.032625995
62,-1,102.8,mercedes-benz,gas,std,four,sedan,Rear Wheel Drive,front,115.6,202.6,71.7,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,mercedes-benz,4,8,3834,0.04144385
63,3,142,mercedes-benz,gas,std,two,convertible,Rear Wheel Drive,front,96.6,180.3,70.5,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,mercedes-benz,2,8,3834,0.042062415
64,0,102.8,mercedes-benz,gas,std,four,sedan,Rear Wheel Drive,front,120.9,208.1,71.7,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,40960,mercedes-benz,4,8,5047,0.047179487
65,1,102.8,mercedes-benz,gas,std,two,hardtop,Rear Wheel Drive,front,112,199.2,72,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,45400,mercedes-benz,2,8,4981,0.049528937
66,2,161,mitsubishi,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,64.4,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,mitsubishi,2,4,1507,0.035453597
67,2,161,mitsubishi,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,64.4,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,mitsubishi,2,4,1507,0.034979424
68,2,161,mitsubishi,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,64.4,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,mitsubishi,2,4,1507,0.033932136
69,1,161,mitsubishi,gas,turbo,two,hatchback,Front Wheel Drive,front,93,157.3,63.8,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,mitsubishi,2,4,1605,0.047552448
70,3,153,mitsubishi,gas,turbo,two,hatchback,Front Wheel Drive,front,96.3,173,65.4,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,mitsubishi,2,4,1802,0.048945148
71,3,153,mitsubishi,gas,std,two,hatchback,Front Wheel Drive,front,96.3,173,65.4,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,mitsubishi,2,4,1999,0.037800687
72,3,146.2,mitsubishi,gas,turbo,two,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12629,mitsubishi,2,4,2556,0.051182492
73,3,146.2,mitsubishi,gas,turbo,two,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14869,mitsubishi,2,4,2556,0.049640534
74,3,146.2,mitsubishi,gas,turbo,two,hatchback,Front Wheel Drive,front,95.9,173.2,66.3,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,14489,mitsubishi,2,4,2556,0.049555707
75,1,125,mitsubishi,gas,std,four,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,mitsubishi,4,4,1999,0.037209302
76,1,125,mitsubishi,gas,std,four,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,mitsubishi,4,4,1999,0.036590437
77,1,125,mitsubishi,gas,turbo,four,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,mitsubishi,4,4,1802,0.048272992
78,-1,137,mitsubishi,gas,std,four,sedan,Front Wheel Drive,front,96.3,172.4,65.4,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,mitsubishi,4,4,1802,0.048272992
79,1,128,nissan,gas,std,two,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,,2,4,1589,0.036527263
80,1,128,nissan,diesel,std,two,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,,2,4,1687,0.02726822
81,1,128,nissan,gas,std,two,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,,2,4,1589,0.035974974
82,1,122,nissan,gas,std,four,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,,4,4,1589,0.035603715
83,1,103,nissan,gas,std,four,wagon,Front Wheel Drive,front,94.5,170.2,63.8,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,,4,4,1589,0.034090909
84,1,128,nissan,gas,std,two,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,,2,4,1589,0.035366479
85,1,128,nissan,gas,std,two,hatchback,Front Wheel Drive,front,94.5,165.6,63.8,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,,2,4,1589,0.034023669
86,1,122,nissan,gas,std,four,sedan,Front Wheel Drive,front,94.5,165.3,63.8,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,,4,4,1589,0.03500761
87,1,103,nissan,gas,std,four,wagon,Front Wheel Drive,front,94.5,170.2,63.8,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,,4,4,1589,0.033873343
88,2,168,nissan,gas,std,two,hardtop,Front Wheel Drive,front,95.1,162.4,63.8,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,,2,4,1589,0.03436255
89,0,106,nissan,gas,std,four,hatchback,Front Wheel Drive,front,97.2,173.4,65.2,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,,4,4,1966,0.041738382
90,0,106,nissan,gas,std,four,sedan,Front Wheel Drive,front,97.2,173.4,65.2,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,,4,4,1966,0.042137272
91,0,128,nissan,gas,std,four,sedan,Front Wheel Drive,front,100.4,181.7,66.5,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13499,,4,6,2966,0.04911147
92,0,108,nissan,gas,std,four,wagon,Front Wheel Drive,front,100.4,184.6,66.5,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,14399,,4,6,2966,0.046116505
93,0,108,nissan,gas,std,four,sedan,Front Wheel Drive,front,100.4,184.6,66.5,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,13499,,4,6,2966,0.049673203
94,3,194,nissan,gas,std,two,hatchback,Rear Wheel Drive,front,91.3,170.7,67.9,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,17199,,2,6,2966,0.052100293
95,3,194,nissan,gas,turbo,two,hatchback,Rear Wheel Drive,front,91.3,170.7,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,,2,6,2966,0.063714559
96,1,231,nissan,gas,std,two,hatchback,Rear Wheel Drive,front,99.2,178.5,67.9,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,18399,,2,6,2966,0.050971647
97,0,161,peugot,gas,std,four,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,peugot,4,4,1966,0.032119205
98,0,161,peugot,diesel,turbo,four,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,13200,peugot,4,4,2490,0.029715358
99,0,161,peugot,gas,std,four,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,peugot,4,4,1966,0.03003096
100,0,161,peugot,diesel,turbo,four,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,13860,peugot,4,4,2490,0.027696793
101,0,161,peugot,gas,std,four,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,peugot,4,4,1966,0.030894309
102,0,161,peugot,diesel,turbo,four,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,16900,peugot,4,4,2490,0.029212792
103,0,161,peugot,gas,std,four,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,peugot,4,4,1966,0.02891933
104,0,161,peugot,diesel,turbo,four,wagon,Rear Wheel Drive,front,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,17075,peugot,4,4,2490,0.027259684
105,0,161,peugot,gas,std,four,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,peugot,4,4,1966,0.031544715
106,0,161,peugot,diesel,turbo,four,sedan,Rear Wheel Drive,front,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,17950,peugot,4,4,2490,0.029212792
107,0,161,peugot,gas,turbo,four,sedan,Rear Wheel Drive,front,108,186.7,68.3,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,18150,peugot,4,4,2195,0.045367412
108,1,119,plymouth,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,plymouth,2,4,1474,0.035453597
109,1,119,plymouth,gas,turbo,two,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,plymouth,2,4,1605,0.047932331
110,1,154,plymouth,gas,std,four,hatchback,Front Wheel Drive,front,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,plymouth,4,4,1474,0.034570412
111,1,154,plymouth,gas,std,four,sedan,Front Wheel Drive,front,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,plymouth,4,4,1474,0.034188034
112,1,154,plymouth,gas,std,four,sedan,Front Wheel Drive,front,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,plymouth,4,4,1605,0.031036057
113,-1,74,plymouth,gas,std,four,wagon,Front Wheel Drive,front,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,plymouth,4,4,1999,0.034714004
114,3,129,plymouth,gas,turbo,two,hatchback,Rear Wheel Drive,front,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12764,plymouth,2,4,2556,0.051454933
115,3,186,porsche,gas,std,two,hatchback,Rear Wheel Drive,front,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,,2,4,2474,0.051475882
116,3,150,saab,gas,std,two,hatchback,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,,2,4,1982,0.0413845
117,2,104,saab,gas,std,four,sedan,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,,4,4,1982,0.040816327
118,3,150,saab,gas,std,two,hatchback,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,,2,4,1982,0.04063539
119,2,104,saab,gas,std,four,sedan,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,,4,4,1982,0.039883974
120,3,150,saab,gas,turbo,two,hatchback,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18150,,2,4,1982,0.056980057
121,2,104,saab,gas,turbo,four,sedan,Front Wheel Drive,front,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,18620,,4,4,1982,0.056199508
122,2,83,subaru,gas,std,two,hatchback,Front Wheel Drive,front,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,5118,,2,4,1589,0.033658537
123,2,83,subaru,gas,std,two,hatchback,Front Wheel Drive,front,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,,2,4,1769,0.034433962
124,2,83,subaru,gas,std,two,hatchback,Four Wheel Drive,front,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,,2,4,1769,0.032589286
125,0,102,subaru,gas,std,four,sedan,Front Wheel Drive,front,97.2,172,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,,4,4,1769,0.038228438
126,0,102,subaru,gas,std,four,sedan,Front Wheel Drive,front,97.2,172,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,,4,4,1769,0.037442922
127,0,102,subaru,gas,std,four,sedan,Front Wheel Drive,front,97.2,172,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9960,,4,4,1769,0.04017094
128,0,102,subaru,gas,std,four,sedan,Four Wheel Drive,front,97,172,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9233,,4,4,1769,0.034381551
129,0,102,subaru,gas,turbo,four,sedan,Four Wheel Drive,front,97,172,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,,4,4,1769,0.044223108
130,0,89,subaru,gas,std,four,wagon,Front Wheel Drive,front,97,173.5,65.4,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,7463,,4,4,1769,0.03580786
131,0,89,subaru,gas,std,four,wagon,Front Wheel Drive,front,97,173.5,65.4,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,10198,,4,4,1769,0.038289206
132,0,85,subaru,gas,std,four,wagon,Four Wheel Drive,front,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,23,29,8013,,4,4,1769,0.033884298
133,0,85,subaru,gas,turbo,four,wagon,Four Wheel Drive,front,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,,4,4,1769,0.041886792
134,1,87,toyota,gas,std,two,hatchback,Front Wheel Drive,front,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9,62,4800,35,39,5348,toyota,2,4,1507,0.031234257
